id,text
182438,Support to Protect Food Security and Livelihoods through Rehabilitation of Agriculture Infrastructure and Cash for Work programs.
171045,"Food for children, hygiene, cash-programmes W: Building resilience, protecting livelihoods and meeting food security needs for vulnerable conflict affected children and their families in Syria To improve household food security needs while strengthening livelihoods and coping capacities of conflict-affected children and their families in Syria"
182541,"Assistance nutritionnelle pour répondre aux besoins des populations vulnérables (enfants de moins de 5 ans, femmes enceintes et mères allaitantes affectés par la crise au Mali) pour la prévention et le traitement de la malnutrition aigue au Mali Assistance nutritionnelle pour répondre aux besoins des populations vulnérables (enfants de moins de 5 ans, femmes enceintes et mères allaitantes affectés par la crise au Mali) pour la prévention et le traitement de la malnutrition aigue au Mali Contribuer à la réduction de la mortalité et morbidité liées à la malnutrition chez les populations les plus à risque. De façon spécifique, il s’agira de :
1. Fournir des suppléments nutritionnels aux enfants de 6-23 mois, femmes enceintes et allaitantes dans les zones vulnérables afin de prévenir la détérioration de leur état nutritionnel ;
2. Assurer une prise en charge adéquate aux enfants de 6-59 mois et femmes enceintes/allaitantes malnutris modérés.
3. Fournir du cash aux femmes pour incitations à la fréquentation des centres de santé ;
4. Fournir une assistance aux accompagnants des enfants malnutris sévères avec complications hospitalisés dans les URENI ;
5. Renforcer le système de dépistage/référencement des cas de malnutrition vers les structures de santé, le suivi/évaluation des activités de nutrition
6. Renforcer les capacités des structures de santé pour assurer la supervision et la coordination des interventions de nutrition"
182543,"Responding to immediate food security and nutrition needs Responding to immediate food security and nutrition needs ACTIVITY 1: Provide unconditional cash or food transfers to populations affected by conflict-related displacement, natural disasters, or production shocks – 
ACTIVITY 3:  Provide unconditional cash or food transfers to vulnerable populations affected by seasonal shocks
ACTIVITY 10: Provide technical assistance and other support to the Government, to strengthen national capacity for food and nutritional security analysis, and for emergency preparedness and response
ACTIVITY 13: Provide technical expertise and services related to logistics, communications and information management, the food security cluster, and emergency preparedness and response, to  humanitarian and development partners"
171047,Coordinated implementation of Cash Assistance to support Somali Households (CASH) affected by disaster (ECHO/-HF/BUD/2018/91004)
182656,"Agriculture and Food Security, Economic Recovery and Market
Systems, Health, Humanitarian Coordination and Information Management, Logistics Support and Relief Commodities,Multipurpose Cash Assistance, Nutrition, Protection, Shelter andSettlements, WASH through Non-Governmental Organization (NGO)
Partners ( USAID/OFDA)"
182658,"Emergency Response to Palestine Refugees in Yarmouk, and YBB X-Provision of in-kind non food items (NFIs) and Cash assistance for NFI to vulnerable Palestine NFI needs of displaced and conflict affected Palestine refugees in Syria are met through cash for NFI and in-kind NFI distribution"
171074,"ESTIA programme, through multi-purpose cash transfer and rental accommodation scheme (ECHO/-EU/BUD/2018/01003)"
182721,"Agriculture and Food Security, Economic Recovery and Market Systems (ERMS), Health, Humanitarian Coordination and Information Management, Multipurpose Cash Assistance, Nutrition, Protection, Risk Management Policy and Practice, Shelter and Settlements, WASH thrugh Implementing Partners (IPs) ( USAID/OFDA)"
182729,"Agriculture and Food Security, ERMS, Health, Multipurpose Cash Assistance, Nutrition, Protection, WASH through IPs ( USAID/OFDA)"
