id,amountUSD,fullParkedAmountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,sourceObjects_Emergency.id,sourceObjects_Emergency.name,sourceObjects_Emergency.behavior,sourceObjects_Emergency.organizationTypes,sourceObjects_Emergency.organizationSubTypes,sourceObjects_Emergency.organizationLevels,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,sourceObjects_Plan.organizationLevels,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_GlobalCluster.organizationLevels,sourceObjects_Cluster.id,sourceObjects_Cluster.name,sourceObjects_Cluster.behavior,sourceObjects_Cluster.organizationTypes,sourceObjects_Cluster.organizationSubTypes,sourceObjects_Cluster.organizationLevels,sourceObjects_Cluster.code,sourceObjects_GlobalCluster.code,sourceObjects_Location.code,sourceObjects_Organization.code,sourceObjects_Plan.code,sourceObjects_Project.id,sourceObjects_Project.name,sourceObjects_Project.behavior,sourceObjects_Project.organizationTypes,sourceObjects_Project.organizationSubTypes,sourceObjects_Project.organizationLevels,sourceObjects_Project.code,sourceObjects_UsageYear.code,sourceObjects_Emergency.code,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.organizationSubTypes,destinationObjects_Cluster.organizationLevels,destinationObjects_Cluster.code,destinationObjects_Emergency.code,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.organizationSubTypes,destinationObjects_Plan.organizationLevels,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.organizationSubTypes,destinationObjects_Project.organizationLevels,destinationObjects_Project.code,destinationObjects_UsageYear.code,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date
124682,6988564,6988564,2014,,financial,2019-06-22T04:25:33.583Z,2014-10-02T00:00:00Z,2014-10-02T00:00:00Z,Food security (2014.0972.1),earmarked,0.787,2014-10-03T00:00:00Z,Parked,Food|Multiyear,TRUE,5500000,EUR,Traditional aid,,commitment,2019-06-24T08:24:25.205Z,2,incoming,shared,2014.0972.1,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,34,2014,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Food Security,single,,,,38,Cambodia,single,,,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Governments,International Government Entities,International Actors,34; 37; 36; 38; 39; 40; 41,2014; 2015; 2016; 2017; 2018; 2019; 2020,shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,"Germany, Government of",From EDRIS,2019-06-21T00:00:00.000Z
127925,10254605,10254605,2015,,financial,2019-06-22T04:25:34.256Z,2015-04-15T00:00:00Z,2015-04-15T00:00:00Z,(Shan State) The aim of the plan is to improve the food situation of farmers population in Shan State. The plan concentrates his activities upon mountain villages and communities close to the border in the Shan State in which many households straightened on subsistence agriculture are food-threatened.  (2015.1800.0),earmarked,0.923,2015-04-25T00:00:00Z,Parked,Multiyear,TRUE,9465000,EUR,Traditional aid,,commitment,2019-06-24T08:23:36.527Z,5,incoming,shared,2015.1800.0,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,37,2015,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26480; 4; 8,Coordination and support services; Emergency Shelter and NFI; Logistics,shared; shared; shared,NULL; NULL; NULL,NULL; NULL; NULL,NULL; NULL; NULL,153,Myanmar,single,,,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Governments,International Government Entities,International Actors,42; 41; 40; 39; 38; 36; 37,2021; 2020; 2019; 2018; 2017; 2016; 2015,shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,"Germany, Government of",From EDRIS,2019-06-21T00:00:00.000Z
131935,-1628085,22099448,2015,166688|166689|166710|184732|184731|161970|177874|166684|161969|161967|161968|167995|198023|184733,financial,2017-12-07T04:25:16.166Z,2015-07-23T00:00:00Z,2015-07-23T00:00:00Z,"Multi-year basic relief (NFIs and fuel vouchers) for vulnerable IDPs who have fled acute violence in Iraq Financial year 2015: 1.000.000,00 €     2016: 3.000.000,00 €     2017: 5.000.000,00€     2018: 2.000.000,00€ Top up financial year 2017: 4.000.000,00 €    2018: 1.000.000,00 €     2019: 2.000.000,00 €  2018: 500.000,00€  2019: 1.500.000,00 € (AA-S05-321.50 IRQ 13/15)",earmarked,0.905,2015-07-25T00:00:00Z,Parked,Multiyear,TRUE,-839993,EUR,Traditional aid,,commitment,2022-12-28T13:17:04.912Z,4,incoming,shared,AA-S05-321.50 IRQ 13/15,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,37,2015,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Iraq,single,,,,2986,International Organization for Migration,single,Multilateral Organizations,UN Agencies,International Actors,37; 38; 40; 39; 36,2015; 2017; 2019; 2018; 2016,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary; Primary,"Deutsche Gesellschaft für Internationale Zusammenarbeit; Germany, Government of",From EDRIS; From EDRIS,2017-12-13T00:00:00.000Z; 2019-01-31T00:00:00.000Z
132644,-1,22930649,2015,162553|162552|162555|162556|162554,financial,2017-12-14T04:25:08.085Z,2016-03-03T00:00:00Z,2015-07-28T00:00:00Z,"The service performance is improved by the strengthening of capacities of state and non-state actors and the improvement of relevant infrastructure for refugees just as for the taking up population. The psychosocial care of IDPs is strengthened. In addition there come crisis-preventive measures to diminish conflict potentials between IDPs and taking up population. Multiyear 2015-2019,  (2015.1832.3)",,0.894,2015-08-15T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2018-01-05T13:45:23.552Z,3,incoming,shared,2015.1832.3,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,37,2015,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,Ukraine,single,,,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Governments,International Government Entities,International Actors,37; 36; 38; 39; 40,2015; 2016; 2017; 2018; 2019,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,"Germany, Government of",From EDRIS,2017-12-14T00:00:00.000Z
135024,-28448624,134680135,2015,195243|182752|186648|138049|136027|143892|197781|197780|197782|197778|167996|186647|154189|197779|200004,financial,2018-11-18T04:25:27.475Z,2015-10-23T00:00:00Z,2015-10-23T00:00:00Z,"Protection and assistance for internally displaced persons in Iraq 2015: 12.000.000,00 €    2016: 24.000.000,00 €    2017:  46.500.000,00 €    2018: 8.000.000,00 € Top up financial year    2018:   10.000.000,00 €    2016: 6.000.000,00 €",,0.891,2015-10-28T00:00:00Z,Parked,Multiyear,TRUE,-25500000,EUR,Traditional aid,,commitment,2019-10-24T11:43:19.039Z,4,incoming,shared,AA-S05 321.50 IRQ 21/15,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,38; 36; 37; 39; 40,2017; 2016; 2015; 2018; 2019,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Emergency Shelter and NFI,single,,,,106,Iraq,single,,,,4397,United Nations High Commissioner for Refugees,single,Multilateral Organizations,UN Agencies,International Actors,37; 36; 39; 38; 40,2015; 2016; 2018; 2017; 2019,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,"Germany, Government of",From EDRIS,2018-11-16T00:00:00.000Z
137780,0,129809,2016,201980|201979|201977|201978,financial,2018-11-02T04:25:42.082Z,2016-02-08T00:00:00Z,2016-02-08T00:00:00Z,Mobilization of German response and preparedness operations in the framework of the EuropeanMedical Corps,,0.915,2016-02-10T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2020-11-25T16:12:09.477Z,4,incoming,shared,AA-S05 321.50 ALL 10/16,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,40; 39; 38; 36,2019; 2018; 2017; 2016,shared; shared; shared; shared,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38; 36; 40; 39,2017; 2016; 2019; 2018,shared; shared; shared; shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,"Germany, Government of",From EDRIS,2018-11-01T00:00:00.000Z
138241,100908,,2019,,financial,2016-02-23T15:56:00Z,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z,"(Morocco) Caritas maroc: droits humains des migrants  2016-2019 (part of 7F-05271.07) , 2019 portion.",,0.991,2016-02-23T15:56:00Z,Standard,,TRUE,1e+05,CHF,Traditional aid,,commitment,2016-10-10T17:57:00Z,1,incoming,single,part of 7F-05271.07,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,40,2019,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,Morocco,single,,,,8484,CARITAS,single,NGOs,International NGOs,International Actors,40,2019,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,"Switzerland, Government of",Other,2016-02-23T15:56:00.000Z
138266,0,2392272,2016,186621|186622|186620,financial,2019-03-06T14:08:06.462Z,2016-02-15T00:00:00Z,2016-02-15T00:00:00Z,Continuing medical treatments in PHCs and MMUs (AA-S09-321.50 SYR 05/16),earmarked,0.882,2016-02-24T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2019-11-08T16:05:17.755Z,3,incoming,shared,AA-S09-321.50 SYR 05/16,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,38; 40; 39,2017; 2019; 2018,shared; shared; shared,NULL; NULL; NULL,NULL; NULL; NULL,NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Health,single,,,,218,Syrian Arab Republic,single,,,,3783,Medico International,single,NGOs,International NGOs,International Actors,40; 39; 38,2019; 2018; 2017,shared; shared; shared,NULL; NULL; NULL,NULL; NULL; NULL,NULL; NULL; NULL,600,Syrian Arab Republic - Civil Unrest (from 2012),single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,"Germany, Government of",From EDRIS,2019-01-22T00:00:00.000Z
138395,0,51366120,2016,201205|201204|201206|201207,financial,2018-11-20T04:25:35.958Z,2016-02-01T00:00:00Z,2016-02-01T00:00:00Z,"Measures regarding help, protection, prevention and cooperation in Iraq",,0.915,2016-02-26T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2019-11-07T13:17:41.729Z,6,incoming,shared,AA-S05 321.50 IRQ 02/16,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,36; 38; 39; 40,2016; 2017; 2018; 2019,shared; shared; shared; shared,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Iraq,single,,,,2967,International Committee of the Red Cross,single,Red Cross/Red Crescent Organizations,International Red Cross/Red Crescent Movement,International Actors,40; 39; 38; 36,2019; 2018; 2017; 2016,shared; shared; shared; shared,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,"Germany, Government of",From EDRIS,2018-11-19T00:00:00.000Z
138397,-2834086,26972678,2016,201782|190288|190287|190286|201781,financial,2018-11-18T04:25:27.964Z,2018-05-17T00:00:00Z,2018-05-17T00:00:00Z,"Measures regarding help, protection, prevention and cooperation in Israel and the Occupied Palestinian Territories.",,0.915,2016-02-26T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2020-09-14T12:45:39.348Z,4,incoming,shared,AA-S05 321.50 PSE 01/16,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,41; 36; 38; 39; 40,2020; 2016; 2017; 2018; 2019,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,Occupied Palestinian Territory,single,,,,2967,International Committee of the Red Cross,single,Red Cross/Red Crescent Organizations,International Red Cross/Red Crescent Movement,International Actors,38; 36; 40; 41; 39,2017; 2016; 2019; 2020; 2018,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,"Germany, Government of",From EDRIS,2018-11-16T00:00:00.000Z
