id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,sourceObjects_Plan.organizationLevels,sourceObjects_Emergency.id,sourceObjects_Emergency.name,sourceObjects_Emergency.behavior,sourceObjects_Emergency.organizationTypes,sourceObjects_Emergency.organizationSubTypes,sourceObjects_Emergency.organizationLevels,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_GlobalCluster.organizationLevels,sourceObjects_Cluster.id,sourceObjects_Cluster.name,sourceObjects_Cluster.behavior,sourceObjects_Cluster.organizationTypes,sourceObjects_Cluster.organizationSubTypes,sourceObjects_Cluster.organizationLevels,sourceObjects_Cluster.code,sourceObjects_Emergency.code,sourceObjects_GlobalCluster.code,sourceObjects_Location.code,sourceObjects_Organization.code,sourceObjects_Plan.code,sourceObjects_Project.id,sourceObjects_Project.name,sourceObjects_Project.behavior,sourceObjects_Project.organizationTypes,sourceObjects_Project.organizationSubTypes,sourceObjects_Project.organizationLevels,sourceObjects_Project.code,sourceObjects_UsageYear.code,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.organizationSubTypes,destinationObjects_Cluster.organizationLevels,destinationObjects_Cluster.code,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.organizationSubTypes,destinationObjects_Plan.organizationLevels,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.organizationSubTypes,destinationObjects_Project.organizationLevels,destinationObjects_Project.code,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,destinationObjects_Emergency.code,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date,amountUSD_defl,amountUSD_defl_millions,deflator,destination_org_country,destination_org_iso3,FTS_source_orgtype,multiyear,source_org_country,source_org_iso3,year
116362,4305396,2017,"",financial,2017-04-08T02:25:52.296Z,2017-04-06T00:00:00Z,2014-05-30T00:00:00Z,Unearmarked Unallocated Funds [OCT 4535],unearmarked,5.4,2014-05-31T00:00:00Z,Standard,Unearmarked,TRUE,3e+07,DKK,Traditional aid,,paid,2017-04-10T09:18:58.979Z,4,incoming,single,[OCT 4535];[2014-33119-2017],61,Denmark,single,"","","",3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,38,2017,single,"","","",,"","",,,,,"","",,,,"","","","","","","","","","","","",,,,,,,,"","",,,,"",,26480,Coordination and support services,single,"","","",4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,38,2017,single,"","","","",,"","","","","","","","","","","","","","",,"","",,,,,,"","",,,,"",,"","","","","","","",Primary,Office for the Coordination of Humanitarian Affairs,From OCT,2017-04-08T00:00:00.000Z,4703440.66703462,4.70344066703462,0.915371598110203,,,Governments,FALSE,Denmark,DNK,2017
157434,72192,2017,"",financial,2017-04-26T02:25:19.766Z,2017-04-20T00:00:00Z,2017-04-20T00:00:00Z,Water rehabilitation,"",6.926,2017-04-26T00:00:00Z,Standard,Humanitarian aid,TRUE,5e+05,DKK,Traditional aid,,commitment,2017-04-26T12:11:29.450Z,1,incoming,single,2016-42658,61,Denmark,single,"","","",3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,38,2017,single,"","","",,"","",,,,,"","",,,,"","","","","","","","","","","","",,,,,,,,"","",,,,"",,11,Water Sanitation Hygiene,single,"","","",8572,ACT Alliance / DanChurchAid,single,NGOs,International NGOs,International Actors,38,2017,single,"","","",116,Kenya,single,"","","","","","","","","","","","","",,"","",,,,,,"","",,,,"",,667,Kenya Drought 2017,single,"","","","",Primary,"Denmark, Government of",From EDRIS,2017-04-26T00:00:00.000Z,78866.3316067937,0.0788663316067937,0.915371598110203,Kenya,KEN,Governments,FALSE,Denmark,DNK,2017
157435,17824,2017,"",financial,2017-04-26T02:25:20.747Z,2017-04-10T00:00:00Z,2017-04-10T00:00:00Z,In-kind donation of tents for the preparedness activities in regards to the acceptance of the great amounts of refugees and migrants,"",6.926,2017-04-26T00:00:00Z,Standard,Humanitarian aid,TRUE,123448,DKK,Traditional aid,,commitment,2017-04-26T11:59:39.764Z,1,incoming,single,2016-42679,61,Denmark,single,"","","",3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,38,2017,single,"","","",,"","",,,,,"","",,,,"","","","","","","","","","","","",,,,,,,,"","",,,,"",,4,Emergency Shelter and NFI,single,"","","",2054,Danish Red Cross,single,Red Cross/Red Crescent Organizations,International Red Cross/Red Crescent Movement,International Actors,38,2017,single,"","","",12,Armenia,single,"","","","","","","","","","","","","",,"","",,,,,,"","",,,,"",,"","","","","","","",Primary,"Denmark, Government of",From EDRIS,2017-04-26T00:00:00.000Z,19471.8735394433,0.0194718735394433,0.915371598110203,Armenia,ARM,Governments,FALSE,Denmark,DNK,2017
144987,60484,2017,"",financial,2017-05-15T13:11:46.573Z,2016-06-01T00:00:00Z,2016-06-01T00:00:00Z,"Chad: Protection et éducation Lac Tchad Formal basic education, (2017 part of 7F-09611.01)","",0.992,2016-07-13T00:00:00Z,Standard,"",TRUE,60000,CHF,Traditional aid,,commitment,2017-05-15T13:11:46.573Z,2,incoming,single,"",217,Switzerland,single,"","","",2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,38,2017,single,"","","",,"","",,,,,"","",,,,"","","","","","","","","","","","",,,,,,,,"","",,,,"",,10,Protection,single,"","","",4763,Handicap International - Humanity & Inclusion,single,NGOs,International NGOs,International Actors,38,2017,single,"","","",44,Chad,single,"","","",3345,Protection,single,"","","",,,,,532,Chad 2017,single,,,,,47626,Accès des personnes handicapées et des plus vulnérables aux services,single,,,,CHD-17/P-HR-RL/103501/5349,,"","","","","","","",Primary,Office for the Coordination of Humanitarian Affairs,Email,2017-05-11T00:00:00.000Z,65090.0105337285,0.0650900105337285,0.929236291468385,Chad,TCD,Governments,FALSE,Switzerland,CHE,2017
157436,2021369,2017,"",financial,2017-04-26T02:25:21.513Z,2017-04-21T00:00:00Z,2017-04-21T00:00:00Z,Drought in Horn of Africa - Saving lives and protecting livelihoods through cash-transfers and a market-based response in Greater Upper Nile,"",6.926,2017-04-26T00:00:00Z,Standard,Humanitarian aid,TRUE,1.4e+07,DKK,Traditional aid,,commitment,2017-04-26T12:24:40.176Z,1,incoming,single,2017-17729,61,Denmark,single,"","","",3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,38,2017,single,"","","",,"","",,,,,"","",,,,"","","","","","","","","","","","",,,,,,,,"","",,,,"",,6,Food Security,single,"","","",8572,ACT Alliance / DanChurchAid,single,NGOs,International NGOs,International Actors,38,2017,single,"","","",211,South Sudan,single,"","","",3393,Food Security and Livelihoods (FSL),single,"","","",,,,,538,Republic of South Sudan 2017,single,,,,,49210,Saving lives and protecting livelihoods through cash-transfers and a market-based response in Greater Upper Nile,single,,,,SSD-17/F/103883/5328,,"","","","","","","",Primary,"Denmark, Government of",From EDRIS,2017-04-26T00:00:00.000Z,2208249.63782265,2.20824963782265,0.915371598110203,South Sudan,SSD,Governments,FALSE,Denmark,DNK,2017
154716,350000,2017,"",financial,2017-03-06T10:55:10.478Z,2017-02-21T00:00:00Z,2017-02-21T00:00:00Z,"Support to Quality integrated Basic Education for Drought affected children in Nugal Region of Puntland state, Somalia",softly earmarked,,2017-03-06T00:00:00Z,Standard,"",FALSE,,"",Traditional aid,,paid,2017-04-05T15:08:05.214Z,1,internal,single,SOM-17/3485/SA1 2017/Ed/INGO/4591,206,Somalia,single,"","","",7655,Somalia Humanitarian Fund,single,Pooled Funds,Country-based UN Pooled Funds,Pooled Funds,38,2017,single,"","","",528,Somalia 2017,single,,,,,"","",,,,"","","","","","","","","","","","",,,,,,,,"","",,,,"",,3,Education,single,"","","",2849,Save the Children,single,NGOs,International NGOs,International Actors,38,2017,single,"","","",206,Somalia,single,"","","",3303,Education,single,"","","",,,,,528,Somalia 2017,single,,,,,48695,Pre-Famine Scale-Up: Basic Education Support for Drought Affected Communities,single,,,,SOM-17/E/100281/R/6079,,"","","","","","","",Primary,Somalia Humanitarian Fund,GMS,2017-03-06T00:00:00.000Z,401582.611718114,0.401582611718114,0.871551680244757,Somalia,SOM,Pooled Funds,FALSE,Somalia,SOM,2017
157437,1010684,2017,"",financial,2017-04-26T02:25:22.310Z,2017-04-21T00:00:00Z,2017-04-21T00:00:00Z,NGO call for proposals 2017 - Drought in Horn of Africa,"",6.926,2017-04-26T00:00:00Z,Standard,Humanitarian aid,TRUE,7e+06,DKK,Traditional aid,,commitment,2017-04-26T12:06:43.429Z,1,incoming,single,2017-17732,61,Denmark,single,"","","",3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,38,2017,single,"","","",,"","",,,,,"","",,,,"","","","","","","","","","","","",,,,,,,,"","",,,,"",,6,Food Security,single,"","","",8572,ACT Alliance / DanChurchAid,single,NGOs,International NGOs,International Actors,38,2017,single,"","","",206,Somalia,single,"","","","","","","","","","","","","",,"","",,,,,,"","",,,,"",,"","","","","","","",Primary,"Denmark, Government of",From EDRIS,2017-04-26T00:00:00.000Z,1104124.27268507,1.10412427268507,0.915371598110203,Somalia,SOM,Governments,FALSE,Denmark,DNK,2017
166786,408479,2017,"",financial,2017-11-28T11:28:55.715Z,2017-10-17T00:00:00Z,2017-10-17T00:00:00Z,"Supporting new and prolonged IDPs to meet their emergency food, WASH and Education needs in Kandahar and Takhar Provinces of Afghanistan through immediate cash transfer modality, WASH interventions and establishment of children Temporary Learning Space (TLS)",softly earmarked,,2017-11-28T00:00:00Z,Standard,"",FALSE,,"",Traditional aid,,commitment,2017-11-28T11:28:55.715Z,1,internal,single,AFG-17/3481/SA2/FSAC-WASH-APC/NGO/6784,1,Afghanistan,single,"","","",8148,Afghanistan Humanitarian Fund,single,Pooled Funds,Country-based UN Pooled Funds,Pooled Funds,38,2017,single,"","","",544,Afghanistan 2017,single,,,,,"","",,,,"","","","","","","","","","","","",,,,,,,,"","",,,,"",,11,Water Sanitation Hygiene,single,"","","",2990,Coordination of Afghan Relief,single,NGOs,National NGOs/CSOs,Local and National Non-State Actors,38,2017,single,"","","",1,Afghanistan,single,"","","",213,"Water, Sanitation and Hygiene",single,"","","","","","","",544,Afghanistan 2017,single,,,,,,"","",,,,"",,"","","","","","","",Primary,Afghanistan Humanitarian Fund,GMS,2017-11-28T00:00:00.000Z,381293.640964497,0.381293640964497,1.07129769845292,Afghanistan,AFG,Pooled Funds,FALSE,Afghanistan,AFG,2017
157438,2310136,2017,"",financial,2017-04-26T02:25:23.062Z,2017-04-21T00:00:00Z,2017-04-21T00:00:00Z,Life-saving food support and recovery to crisis and emergency affected populations in Somalia,"",6.926,2017-04-26T00:00:00Z,Standard,Humanitarian aid,TRUE,1.6e+07,DKK,Traditional aid,,commitment,2017-07-21T09:34:26.699Z,1,incoming,single,2017-17734,61,Denmark,single,"","","",3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,38,2017,single,"","","",,"","",,,,,"","",,,,"","","","","","","","","","","","",,,,,,,,"","",,,,"",,6,Food Security,single,"","","",2849,Save the Children,single,NGOs,International NGOs,International Actors,38,2017,single,"","","",206,Somalia,single,"","","",3305,Food Security,single,"","","",,,,,528,Somalia 2017,single,,,,,48565,Life-saving food support and recovery to crisis and emergency affected populations in Somalia				,single,,,,SOM-17/ER/99227/R/6079,,"","","","","","","",Primary,"Denmark, Government of",From EDRIS,2017-04-26T00:00:00.000Z,2523713.87179732,2.52371387179732,0.915371598110203,Somalia,SOM,Governments,FALSE,Denmark,DNK,2017
157439,1170047,2017,"",financial,2017-04-26T02:25:23.802Z,2017-04-21T00:00:00Z,2017-04-21T00:00:00Z,Drought in Horn of Africa,"",6.41,2017-04-26T00:00:00Z,Standard,Humanitarian aid,TRUE,7500000,DKK,Traditional aid,,commitment,2017-11-10T10:24:03.270Z,1,incoming,single,2017-17737,61,Denmark,single,"","","",3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,38,2017,single,"","","",,"","",,,,,"","",,,,"","","","","","","","","","","","",,,,,,,,"","",,,,"",,6,Food Security,single,"","","",4695,Adventist Development and Relief Agency,single,NGOs,International NGOs,International Actors,38,2017,single,"","","",248,Yemen,single,"","","","","","","","","","","","","",,"","",,,,,,"","",,,,"",,"","","","","","","",Primary,"Denmark, Government of",From EDRIS,2017-04-26T00:00:00.000Z,1278220.78204696,1.27822078204696,0.915371598110203,Yemen,YEM,Governments,FALSE,Denmark,DNK,2017
