clean_org,Year,Organisation,Org_type,Local_type,PC.USD.m,TV.USD.m,Cash.USD,Vouchers.USD,Source.PC,Source.TV,Comment,Reasons.for.year-on-year.change,source,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.name,PC.USD.m_subgrant,PC.USD.m_undoubled
"",2017,"",Other,,43.921867,33.4934853542046,,,,,,,FTS,"","",0,43.921867
"",2018,"",Other,,13.463988,10.2672294164359,,,,,,,FTS,"","",0,13.463988
"",2019,"",Other,,3.014508,2.31591709577588,,,,,,,FTS,"","",0,3.014508
"",2020,"",Other,,37,28.877546403137,,,,,,,FTS,"","",0,37
"",2022,"",Other,,2.178649,1.72229473330102,,,,,,,FTS,"","",0,2.178649
acbar agency coordinating body for afghan relief,2019,ACBAR - Agency Coordinating Body for Afghan Relief,NGO,,0.422595,0.324661598207537,,,,,,,FTS,National NGOs/CSOs,ACBAR - Agency Coordinating Body for Afghan Relief,0,0.422595
acbar agency coordinating body for afghan relief,2020,ACBAR - Agency Coordinating Body for Afghan Relief,NGO,,0.671673,0.524223465546871,,,,,,,FTS,National NGOs/CSOs,ACBAR - Agency Coordinating Body for Afghan Relief,0,0.671673
acbar agency coordinating body for afghan relief,2021,ACBAR - Agency Coordinating Body for Afghan Relief,NGO,,0.666709,0.525425229172765,,,,,,,FTS,National NGOs/CSOs,ACBAR - Agency Coordinating Body for Afghan Relief,0,0.666709
acbar agency coordinating body for afghan relief,2023,ACBAR - Agency Coordinating Body for Afghan Relief,NGO,,0.606995,0.485596,,,,,,,FTS,National NGOs/CSOs,ACBAR - Agency Coordinating Body for Afghan Relief,0,0.606995
access development and relief organization,2023,Access Development and Relief Organization,NGO,,0.3,0.24,,,,,,,FTS,National NGOs/CSOs,Access Development and Relief Organization,0,0.3
access development and relief organization,2024,Access Development and Relief Organization,NGO,,0.45,0.36,,,,,,,FTS,National NGOs/CSOs,Access Development and Relief Organization,0,0.45
acra cooperazione rurale in africa e america latina fondazione acra,2024,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),NGO,,0.03801459,0.030411672,,,,,,,FTS,International NGOs,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),0,0.03801459
act alliance canadian lutheran world relief,2024,ACT Alliance / Canadian Lutheran World Relief,NGO,,0.857569,0.6860552,,,,,,,FTS,International NGOs,ACT Alliance / Canadian Lutheran World Relief,0,0.857569
act alliance christian world service,2022,ACT Alliance / Christian World Service,NGO,,0.096158,0.0760161076725801,,,,,,,FTS,International NGOs,ACT Alliance / Christian World Service,0,0.096158
act alliance church world service,2022,ACT Alliance / Church World Service,NGO,,0.287212,0.227050669906374,,,,,,,FTS,International NGOs,ACT Alliance / Church World Service,0,0.287212
act alliance diakonie emergency aid,2017,ACT Alliance / Diakonie Emergency Aid,NGO,,2.207907,1.68368299935761,,,,,,,FTS,International NGOs,ACT Alliance / Diakonie Emergency Aid,0,2.207907
act alliance diakonie emergency aid,2018,ACT Alliance / Diakonie Emergency Aid,NGO,,0.479858,0.365925175610088,,,,,,,FTS,International NGOs,ACT Alliance / Diakonie Emergency Aid,0,0.479858
act alliance diakonie emergency aid,2022,ACT Alliance / Diakonie Emergency Aid,NGO,,0.219676,0.173661208314251,,,,,,,FTS,International NGOs,ACT Alliance / Diakonie Emergency Aid,0,0.219676
act alliance diakonie emergency aid,2023,ACT Alliance / Diakonie Emergency Aid,NGO,,0.024405,0.019524,,,,,,,FTS,International NGOs,ACT Alliance / Diakonie Emergency Aid,0,0.024405
act alliance finn church aid,2019,ACT Alliance / Finn Church Aid,NGO,,0.033,0.0253524834436014,,,,,,,FTS,International NGOs,ACT Alliance / Finn Church Aid,0,0.033
act alliance finn church aid,2020,ACT Alliance / Finn Church Aid,NGO,,0.02982955,0.0232811949813431,,,,,,,FTS,International NGOs,ACT Alliance / Finn Church Aid,0,0.02982955
act alliance finn church aid,2021,ACT Alliance / Finn Church Aid,NGO,,0.08575787,0.0675847311167513,,,,,,,FTS,International NGOs,ACT Alliance / Finn Church Aid,0,0.08575787
act alliance finn church aid,2022,ACT Alliance / Finn Church Aid,NGO,,0.00904409,0.00714965493500806,,,,,,,FTS,International NGOs,ACT Alliance / Finn Church Aid,0,0.00904409
act alliance finn church aid,2023,ACT Alliance / Finn Church Aid,NGO,,0.01345335,0.01076268,,,,,,,FTS,International NGOs,ACT Alliance / Finn Church Aid,0,0.01345335
act alliance finn church aid,2024,ACT Alliance / Finn Church Aid,NGO,,0.610705,0.488564,,,,,,,FTS,International NGOs,ACT Alliance / Finn Church Aid,0,0.610705
