Year,Org_type,Local_type,PC.USD.m,TV.USD.m
2015,NGO,International,516.0875,374.0601
2015,NGO,National,10.314,7.5228
2015,Other,International,3.0199,2.2027
2015,RCRC,International,86.7468,63.2716
2015,UN,International,1179.9981,1003.6204
2016,NGO,International,681.7771,519.1445
2016,NGO,National,13.1859,9.6176
2016,Other,International,2305.18764718729,1681.3627
2016,RCRC,International,79.9602,58.3215
2016,UN,International,1789.54600114957,1393.0541353261
2017,NGO,International,918.18844621,707.46797181584
2017,NGO,National,1.5687,1.4039
2017,RCRC,International,1022.7249,779.899
2017,UN,International,2116.8129,1614.21736646574
2018,NGO,International,903.930986543293,702.401771840746
2018,NGO,National,8.61105765428187,6.60943599702773
2018,Other,International,22.6927746566715,17.3048225752674
2018,RCRC,International,956.692083978001,729.544387764494
2018,UN,International,2810.49484640711,2143.19827362473
2019,NGO,International,1072.5919931684,844.162682556862
2019,NGO,National,19.9313157067414,15.3123742867986
2019,Other,International,42.7657764530716,32.8733997664806
2019,RCRC,International,1092.5863,839.3871
2019,UN,International,3561.83629734542,2736.40578339846
2020,NGO,International,1603.49524650595,1320.03111163516
2020,NGO,National,49.4202630458996,38.5712559032554
2020,Other,International,44.508111202206,34.7374336907483
2020,Other,National,146.584691,114.405573414649
2020,RCRC,International,1050.21970691,819.669437451375
2020,UN,International,4069.57315611042,3176.19703383817
2021,NGO,International,1448.87274950155,1196.67281116819
2021,NGO,National,66.2285623408437,52.1865276385463
2021,Other,International,49.886634125105,39.3150477462298
2021,Other,National,134.624017,106.095545409441
2021,RCRC,International,1273.0792,1003.2981
2021,UN,International,4569.08184254106,3600.83775086505
2022,NGO,International,1967.27060567696,1594.95880495275
2022,NGO,National,36.8637986628762,29.1421303058632
2022,Other,International,79.2976328292656,62.6874248146819
2022,Other,National,146.75217582222,116.012491924617
2022,RCRC,International,1531.3044,1210.5473
2022,UN,International,6809.04746280685,5400.51045417944
2023,NGO,International,2093.50471681107,1737.11291344886
2023,NGO,National,62.1129393535093,49.6970514828075
2023,Other,International,16.3239436963127,13.0591549570502
2023,Other,National,5.14,4.112
2023,RCRC,International,1168.6274,973.8561
2023,RCRC,National,1.561875,1.2495
2023,UN,International,5618.48037702044,4707.17166161635
2024,NGO,International,1994.18535763925,1613.6795061114
2024,NGO,National,83.1212765311095,64.9140612248875
2024,Other,International,16.1837821889314,12.9470257511451
2024,Other,National,1.530349,1.2242792
2024,RCRC,International,1012.710202,921.5941816
2024,RCRC,National,2.09621218986352,1.67696975189081
2024,UN,International,4996.35650492173,3999.71194393738
2025,NGO,International,1757.00433122617,1472.54264820072
2025,NGO,National,102.019195858081,81.6153566864651
2025,Other,International,106.979435,85.583548
2025,Other,National,6.769947,5.4159576
2025,RCRC,International,1201.74105844259,961.392846754074
2025,RCRC,National,5.968018,4.7744144
2025,UN,International,4111.04381511639,3278.52490437992
