destinationObjects_Location.name,CVAamount,CVAamount_USA,CVAamount_USA_pc
"",4544536.21428572,28205,0.00620635388740831
Afghanistan,150861776.733333,47837530.3333333,0.317095101020135
Argentina,103342,103342,1
Bangladesh,216954102.87,130863672.37,0.603185976383282
Barbados,405800,405800,1
Belarus,50300,0,0
Belize,122213,122213,1
"Bolivia, Plurinational State of",76793,76793,1
Brazil,194130,84080,0.43311183227734
Bulgaria,2150000,2150000,1
Burkina Faso,15532225.4666667,6327619,0.407386501926562
Burundi,3583133,0,0
Cambodia,159250,0,0
Cameroon,25907166.54,14084558.1,0.543654902524898
Central African Republic,11034153,8385485,0.759957288973608
Chad,42812409.71,15783308.49,0.368661997699078
Chile,208774.5,199076,0.953545571896951
Colombia,21732280.1583333,19515755,0.898007703647084
Congo,4e+05,0,0
Costa Rica,2950251,2950251,1
Czech Republic,8964520,8888000,0.99146412747141
Democratic Republic of the Congo,67993966,423410,0.00622717021683954
Djibouti,2400000,2400000,1
Ecuador,266797,240772,0.902453925643842
Egypt,13955743.5,4443378,0.318390632501952
El Salvador,2304297,2304297,1
Eritrea,700001,0,0
Estonia,510000,510000,1
Ethiopia,115816011.928571,9231126,0.0797050929857024
Fiji,56628.3333333333,0,0
Ghana,1e+05,1e+05,1
Global,10664463.25,725158,0.0679976087872965
Grenada,1526956,826956,0.541571597347926
Guatemala,15902184,15032996,0.945341595846206
Guinea,932674,0,0
Guyana,49646,49646,1
Haiti,14091773,8447896,0.599491348604608
Honduras,18246879.1,11653585.4,0.638661841081635
Hungary,8e+05,8e+05,1
"Iran, Islamic Republic of",2716759,0,0
Iraq,10502673,0,0
Jamaica,2355601,980000,0.416029709615508
Jordan,8889158,212054,0.0238553527791946
Kenya,21026870.4285714,3984945,0.189516790600718
Kiribati,9259.33333333333,9259.33333333333,1
Lao People's Democratic Republic,56628.3333333333,0,0
Latvia,220000,220000,1
Lebanon,134758926,12422514,0.0921832369011311
Lesotho,1024739,0,0
Libya,6158790,0,0
Lithuania,5e+05,5e+05,1
Madagascar,476689,0,0
Malawi,19145328,8600000,0.44919575156926
Malaysia,189157,189157,1
Mali,13052691.98,43551.9,0.00333662205978142
Mauritania,818912,0,0
Mexico,22067667,22067667,1
"Micronesia, Federated States of",9259.33333333333,9259.33333333333,1
"Moldova, Republic of",48119955,10889133,0.226291421095469
Mongolia,727531,199880,0.274737433868797
Morocco,1193466,0,0
Mozambique,34042500.12,24006512.45,0.705192402596076
Myanmar,18265135,1400029,0.0766503505175297
Namibia,1069340,0,0
Nepal,296118,296118,1
Nicaragua,100449,0,0
Niger,11847770,1203581,0.10158713411891
Nigeria,102682548.573333,66289588.92,0.645577947187955
Occupied Palestinian Territory,134391357.666667,23473991,0.174668902878584
Pakistan,21333838,14633259,0.685917789382295
Panama,933741,933741,1
Papua New Guinea,9259.33333333333,9259.33333333333,1
Peru,7995597.42857143,7545390.57142857,0.943693155994311
Philippines,10973173,1650000,0.150366717083564
Poland,17755576,12500000,0.704004195639725
Region - Middle East and Northern Africa,23275557,23275557,1
Romania,2487622,880000,0.353751494399069
Saint Lucia,110000,0,0
Saint Vincent and the Grenadines,885272,885272,1
Slovakia,1240000,1240000,1
Solomon Islands,9259.33333333333,9259.33333333333,1
Somalia,102770814.428571,51323005,0.499392802181897
South Sudan,206281110.548572,128053207.2,0.620770398508439
Sudan,356123074.061905,147057183.103333,0.412939216282769
Syrian Arab Republic,281712448.788889,88795104.5883333,0.315197659777098
"Tanzania, United Republic of",268414.428571429,268355,0.999778593975947
Thailand,547479,547479,1
Tonga,9259.33333333333,9259.33333333333,1
Türkiye,30872270,6244000,0.202252701210504
Uganda,5867235.42857143,0,0
Ukraine,491350209.166667,224819630.666667,0.457554767398924
Uruguay,64679,64679,1
Vanuatu,49259.3333333333,9259.33333333333,0.187971145908051
"Venezuela, Bolivarian Republic of",28460.625,0,0
Viet Nam,1602474.33333333,0,0
Yemen,129534934.583333,52114928,0.402323343641889
Zambia,26422318,20650000,0.781536275507698
Zimbabwe,42770067,26569429,0.621215510370839
