project_id,project_name,project_objective
48020,Provision of humanitarian air services in the region (SO 200792),"To provide safe, effective and efficient  access to beneficiaries and project sites for NGOs, UN agencies, donor organizations and diplomatic missions; To transport light cargo such as medical supplies, high energy foods, and information and communication technology equipment; and To provide timely medical and security evacuations for the humanitarian community in Niger"
50040,"Child protection humanitarian response to conflict affected children, IDPs and host community","Assess and analyze displacement trends, protection/GBV needs and risks, and human rights/grave child rights violations; and mobilize timely humanitarian response and evidence-based advocacy

Provide life-saving protection assistance and services to vulnerable conflict-affected individuals/children and GBV survivors

Strengthen the capacity of humanitarian actors/service providers, authorities and communities to assess, prevent, mitigate and respond to protection/GBV/CP needs and risks.

Strengthen coordination of protection/GBV/CP interventions at the national and sub-national levels."
47595,Protection des femmes et filles et réduction des risques de VBG dans la région du Lac Tchad,"Ce projet vise à prévenir et répondre aux risques et violations encourues par les groupes particulièrement vulnérables, notamment les femmes et filles (prévention et réponse aux VBGs) dans la région du Lac Tchad."
50007,"UNICEF WASH humanitarian response to 4,888,039 affected people in Yemen","Restore or maintain sustainable water and sanitation systems to improve public health and resilience

Provide emergency and life saving WASH assistance to the most vulnerable so as to reduce excess morbidity and mortality

Ensure sufficient sectoral and inter-sectoral coordination and capacity to respond at the national and sub-national levels"
50166,Integrated Health Services for Conflict-affected communities in Yemen,"HEA1	Provide integrated primary,  secondary and referal  health service , surveillance and response, and  medical supplies in priority districts
HEA2	Strengthen reproductive, maternal, new-born,child and adolescent health (RMNCAH) interventions, including violence against women
HEA3	Support community-based health initiatives and sustain the main pillars and infrastructure of the health system"
49300,W. Humanitarian Coordination and Assistance for the Syria Response Plan,"Strengthen harmonized coordination modalities through enhanced information management, communication and joint planning"
50049,WASH Assistance for conflict affected people in Yemen,"WSH1	Restore or maintain sustainable water and sanitation systems to improve public health and resilience
WSH2	Provide emergency and life saving WASH assistance to the most vulnerable so as to reduce excess morbidity and mortality"
50184,GBV response and mitigation in the conflict effected communities in  Aden Adale'e and Abyan,"This objective were sit by YHRP: 
1- Assess and analyze displacement trends, protection/GBV needs and risks, and human rights/grave child rights violations; and mobilize timely humanitarian response and evidence-based advocacy
2- Provide life-saving protection assistance and services to vulnerable conflict-affected individuals/children and GBV survivors
3- Strengthen the capacity of humanitarian actors/service providers, authorities and communities to assess, prevent, mitigate and respond to protection/GBV/CP needs and risks.
4- Strengthen coordination of protection/GBV/CP interventions at the national and sub-national levels."
50373,Jordan,n/a
50362,Jordan,n/a
50355,Jordan,n/a
49923,Emergency Nutrition Response in hurricane and drought affected districts in Haiti,"To reduce morbidity and mortality associated to acute malnutrition through curative and preventive actions in vulnerable populations groups (children under five, pregnant/lactating women) affected by natural disasters"
50382,Jordan,n/a
50354,Lebanon,n/a
50381,Lebanon,n/a
49932,WASH Emergency Preparedness and Response in Haiti,"This project aims to address the immediate basic WASH needs of children and families affected by Humanitarian crisis and to increase the population’s resilience to natural disasters through:
•	Containing public health risk by improving access to sustainable safe drinking water systems and good hygiene conditions for 150,000 people and sanitation facilities and services for 40,000 people in communities, schools and health institutions
•	Sustaining rapid response capacity to natural disasters including floods strengthening the national system for WASH Emergency preparedness and response.
•	Re-establishing sufficient stock levels of life-saving WASH supplies (stock sufficient for 20,000 people"
49361,"X - Provision of cash grants for non-food items (NFIs) to 430,000 affected Palestine refugees",NFI needs of displaced and conflict-affected Palestine refugees are met through the provision of cash grants equivalent to USD 13.8 per person and per month
52112,Batangafo Emergency Assistance Project (BEAP),"Through the provision of agricultural imputs and undertaking of cash for work activities for selected CAR conflict affected individuals in Batangafo, this project aims at alleviating suffering while increasing resilience to future shocks"
47896,PRISE EN CHARGE INTEGREE DE LA MALNUTRITION AIGUE EN REPUBLIQUE DU MALI,"Contribuer à la réduction de la mortalité et la morbidité liée à la malnutrition aigue chez les enfants de moins de 5 ans, en République du Mali"
48171,Nutrition Response to Humanitarian crisis in the 3 states most affected by the Boko Haram Insurgency in the North East of Nigeria,"1.	Ensure equitable access to quality lifesaving services for management of acute malnutrition for children (boys and girls 6-59 months) 
2.	Improve access to services to prevent under-nutrition among vulnerable groups (children under the five and pregnant and breastfeeding women) with focus on infant feeding in emergencies and micro nutrient supplementation 
3.	Strengthen sector coordination at all levels to enhance needs assessment and analysis of the nutrition situation as well as to improve the capacity to provide effective nutrition response"
51861,United Nations Children's Fund requirements for wash,n/a
49527,"W_Strengthening sustainable and quality secondary health care, obstetric care and referral services across the country",To strengthen the provision of critical secondary health care services including the provision of EMOC Services and referral
52219,Restoration of roofing of priority buildings after the impact of hurricane Maria.,"• Distribution of good quality materials for permanent roofing.
• Distribution of tools for the safe installation of permanent
roofing.
• Training of roofing installation for Building Back Better.
• Affected families can return to their homes rapidly taking into
account the need to reduce vulnerabilities and promote
resilience."
48080,Shelter and NFI assistance to conflict affected population in North East Nigeria,"1: Ensure sufficient, coordinated and adequate delivery of emergency shelters to respond to the immediate needs of displaced populations in host communities, returnees, IDP in sites and non-covered sites and to respond in case of sudden movement of populations. 
 2: Deliver reinforced shelters and house repair assistance for IDP in return areas, sites and hosting communities as well as in transitional IDP sites, by taking into consideration the specific needs of IDP in each locations.
3: Deliver flexible, coordinated, adequate and harmonised NFI kits (including assessment, distribution and post-distribution monitoring) and emergency shelter kits to displaced populations and hosting communities."
48076,Improving Displacement Management and Operational Coordination in Affected States of North-East Nigeria,"•Continue tracking and monitoring displacement and mobility, including sex and age disaggregated data and information on needs and gaps, in order to establish a comprehensive follow up on displaced populations, in sites and hosting communities, including sudden movements of populations and to inform appropriate interventions across sectors. 
• Support the monitoring, coordination and management of displacement sites (both camp and """"out of camp"""", including displaced populations in hosting communities) to ensure that minimum standards are upheld and referral pathways reinforced for direct assistance, through capacity building, community participation, on site and mobile facilitation support and case by case analysis.
• Support the maintenance and care, decongestion of sites (formal and informal including in host communities) through the provision of site planning assistance, improvements when required and coordinated analysis and prepare to respond through Displacement Management / CCCM interventions in regard to IDP returns."
48170,Establishment & Management of Humanitarian Hubs and Common Services in North Eastern Nigeria,"a)	To ensure better coordination, collaboration, complementarity and effectiveness of preparedness and response interventions by humanitarian actors in support to LGAs (Local Government Authorities). 
b)	To sustain multi-sector, concentrated humanitarian presence in remote and hard to reach conflict-affected areas
c)	To provide critical security support and coordination needed to facilitate the ongoing and expanding humanitarian programmes by ensuring that all compounds meet required MORSS standards as well as evacuation planning."
48078,Mental Health and Psychosocial Support for conflict affected populations in Nigeria's North East,"1 	Strengthen community and family support mechanisms with the aim of enhancing the psychosocial wellbeing of conflict affected, displaced and vulnerable individuals
2 	Provision of direct and focused psychosocial support activities with the aim of enhancing the psychosocial wellbeing of conflict affected, displaced and vulnerable individuals, and to prevent long term morbidity, mortality and social disruption"
51752,Provision of Emergency Health assistance to the affected people in Nertiti Locality of Central Darfur,"Immediate needs of health internally displaced and host children, woman and men are addressed. Resilience of the communities enhanced to cope with the emergency situation in future. The proposed project is designed to contribute to the outcome 1 """"Populations in areas affected by natural or man-made disaster receive timely assistance during and in the aftermath of a shock"""""
51853,International Organization for Migration requirements for shelter,n/a
51860,International Organization for Migration requirements for wash,n/a
