id,decision
148194,Decision: accept; judgement
150793,Decision: accept; judgement
150793,Decision: accept; judgement
152105,Decision: exclude; judgement
152108,Decision: exclude; judgement
154037,Decision: accept; judgement
154722,Decision: exclude; judgement; includes other elements which are not cash
154726,Decision: exclude; judgement; includes other elements which are not cash
155176,Decision: exclude; judgement
155701,Decision: exclude; judgement; includes other elements which are not cash
155788,Decision: include; judgement
156033,Decision: accept; judgement
156094,Decision: accept; judgement
156242,Decision: exclude; judgement; includes other elements which are not cash
156382,Decision: exclude; judgement; includes other elements which are not cash
156891,Decision: exclude; judgement; includes other elements which are not cash
157043,Decision: accept; judgement
157044,Decision: accept; judgement
157436,Decision: accept; judgement
157454,Decision: exclude; judgement; includes other elements which are not cash
157589,Decision: include; judgement
157796,Decision: exclude; judgement
157797,Decision: exclude; judgement
157939,Decision: accept; judgement
157940,Decision: accept; judgement
157944,Decision: accept; judgement
157946,Decision: accept; judgement
157947,Decision: accept; judgement
157948,Decision: accept; judgement
157949,Decision: accept; judgement
157950,Decision: accept; judgement
158106,Decision: exclude; judgement
158717,Decision: exclude; judgement
158972,Decision: accept; judgement
159170,Decision: accept; judgement
160744,Decision: exclude; judgement
161355,Decision: exclude; judgement
161692,Decision: exclude; judgement
162607,Decision: exclude; judgement; includes other elements which are not cash
162763,Decision: exclude; judgement
163067,Decision: exclude; judgement
163166,Decision: exclude; judgement
163172,Decision: exclude; judgement
163182,Decision: exclude; judgement
163747,Decision: accept; judgement
164874,Decision: accept; judgement
165221,Decision: exclude; judgement; includes other elements which are not cash
165293,Decision: accept; judgement
165756,Decision: accept; judgement
166256,Decision: accept; judgement
166259,Decision: accept; judgement
166261,Decision: exclude; judgement; includes other elements which are not cash
166264,Decision: include; judgement
166717,Decision: exclude; judgement
166956,Decision: exclude; judgement; includes other elements which are not cash
167112,Decision: exclude; judgement
167161,Decision: exclude; judgement; includes other elements which are not cash
167233,Decision: exclude; judgement
167849,Decision: accept; judgement
169034,Decision: exclude; judgement
169037,Decision: exclude; judgement; includes other elements which are not cash
169416,Decision: accept; judgement
169432,Decision: exclude; judgement
169433,Decision: exclude; judgement
169837,Decision: exclude; judgement
170748,Decision: accept; judgement
170748,Decision: accept; judgement
170749,Decision: accept; judgement
170750,Decision: accept; judgement
171599,Decision: exclude; judgement; includes other elements which are not cash
171689,Decision: accept; judgement
172000,Decision: accept; judgement
172149,Decision: exclude; judgement
172338,Decision: accept; judgement
172543,Decision: exclude; judgement; includes other elements which are not cash
173287,Decision: exclude; judgement
174087,Decision: exclude; judgement
174172,Decision: exclude; judgement
174177,Decision: exclude; judgement
174206,Decision: exclude; judgement
174536,Decision: exclude; judgement; includes other elements which are not cash
174538,Decision: exclude; judgement; includes other elements which are not cash
175111,Decision: accept; judgement
175578,Decision: accept; judgement
176390,Decision: exclude; judgement
176545,Decision: exclude; judgement
177310,Decision: exclude; judgement
177337,Decision: accept; judgement
177493,Decision: accept; judgement
177494,Decision: accept; judgement
177630,Decision: accept; judgement
177860,Decision: exclude; judgement
177958,Decision: exclude; judgement
178078,Decision: accept; judgement
