Question,Question type
3 - Does this project involve Cash and Voucher Assistance (CVA)?,flagCVA
3.1 - Estimated % of requirements to be used for cash transfer,quantC
3.2 - Estimated % of requirements to be used for voucher assistance,quantV
Is any part of this project cash based intervention?,flagCVA
Restriction,otherCVA
Conditionality,otherCVA
2 - Does this project involve Cash and Voucher Assistance (CVA)?,flagCVA
2.1 - Estimated % of requirements to be used for cash transfer,quantC
2.2 - Estimated % of requirements to be used for voucher assistance,quantV
"2.2 - % du budget global du projet, prévu pour l’assistance en coupons",quantV
"2.1 - % du budget global du projet, prévu pour l’assistance par transfert monétaire",quantC
2 - TRANSFERT MONETAIRE,flagCVA
4.1.2. % estimé du budget prévu pour l’assistance en coupons,quantV
4.1.1. % estimé du budget prévu pour l’assistance par transfert monétaire,quantC
4.1 Transfert monétaire inclus ?,flagCVA
Comprend-il l’assistance par transfert monétaire-coupons ?,flagCVA
% estimé du budget prévu pour l’assistance par transfert monétaire / Estimated % of requirements to be used for cash transfer,quantC
% estimé du budget prévu pour l’assistance en coupons / Estimated % of requirements to be used for voucher assistance,quantV
3.1.1. % estimé du budget prévu pour l’assistance par transfert monétaire / Estimated % of requirements to be used for cash transfer,quantC
3.1. Transfert monétaire inclus ?,flagCVA
1.1.2. ¿Cuál es el porcentaje estimado del presupuesto solicitado utilizado para cupones?,quantV
1.1.1. ¿Cuál es el porcentaje estimado del presupuesto solicitado utilizado para transferencias monetarias?,quantC
1.1. ¿Transferencias monetarias o cupones?,flagCVA
2.1.9 - Estimated % of project funding to be used for Cash Transfer Programs (CTPs).,quantCVA
2.1.8 - Delivery Mechanism,otherCVA
2.1.7 - Conditionality,otherCVA
2.1.6 - Is your project linked to social protection mechanisms (PSNP etc).,otherCVA
2.1.5 - Is the transfer value aligned with National CWG and Cluster guidance?,otherCVA
2.1.4 - Does your organization participate in Sub-National Cash Working Groups (SNCWG) for your operational area?,otherCVA
2.1.3 - Does your organization participate in the National Cash Working Group?,otherCVA
2.1.2 - Has the project design considered market functionality?,otherCVA
2.1.1 - Is it better to use cash or vouchers instead of in kind?,otherCVA
2.1 - Does this project involve CVA?,flagCVA
