destinationObjects_Organization.name,Survey name
Acción Contra el Hambre - Spain,Action Against Hunger
ACT Alliance / Christian Aid,Christian Aid
ACT Alliance / Dan Church Aid - Norwegian Church Aid Joint office in Palestine,DCA
ACT Alliance / DanChurchAid,DCA
Action Against Hunger - USA,Action Against Hunger
Action Contre la Faim - Action Against Hunger International,Action Against Hunger
Action Contre la Faim - France,Action Against Hunger
ActionAid International,ActionAid 
ActionAid International Afghanistan,ActionAid 
Adventist Development and Relief Agency,Adventist Development and Relief Agency
Agency for Technical Cooperation and Development,ACTED
Albanian Red Cross,Red Cross and Red Crescent Movement
Algerian Red Crescent,Red Cross and Red Crescent Movement
Australian Red Cross,Red Cross and Red Crescent Movement
Bangladesh Red Crescent Society,Red Cross and Red Crescent Movement
Belgian Red Cross,Red Cross and Red Crescent Movement
British Red Cross,Red Cross and Red Crescent Movement
Burkinabe Red Cross Society,Red Cross and Red Crescent Movement
Canadian Food Grains Bank,Canadian Food Grains Bank
CARE Denmark,CARE International
CARE Ethiopia,CARE International
Care Germany,CARE International
CARE Germany-Luxembourg eV,CARE International
CARE Haiti,CARE International
CARE International,CARE International
CARE Lebanon,CARE International
CARE Luxembourg,CARE International
CARE Myanmar,CARE International
CARE Netherlands,CARE International
CARE Somalia,CARE International
CARE Viet Nam,CARE International
CARE Yemen,CARE International
CARE-UK,CARE International
Caritas Switzerland,Caritas CH
Catholic Relief Services,Catholic Relief Services
CBM International,CBM Global Disability Inclusion
ChildFund,ChildFund International
ChildFund International,ChildFund International
Concern Worldwide,Concern Worldwide
Cooperazione E Sviluppo - CESVI,CESVI
Danish Red Cross,Red Cross and Red Crescent Movement
Danish Refugee Council,Danish Refugee Council
Deutsche Welthungerhilfe e.V. (German Agro Action),Deutsche Welthungerhilfe
Ethiopian Red Cross Society,Red Cross and Red Crescent Movement
Food and Agriculture Organization of the United Nations,FAO
Food for the Hungry,Food for the Hungry
French Red Cross,Red Cross and Red Crescent Movement
German Red Cross,Red Cross and Red Crescent Movement
GiveDirectly,GiveDirectly
Global Communities,Global Communities
GOAL,GOAL
Handicap International - Humanity & Inclusion,Humanity and Inclusion (HI)
HelpAge International,HelpAge International
International Committee of the Red Cross,Red Cross and Red Crescent Movement
International Federation of Red Cross and Red Crescent Societies,Red Cross and Red Crescent Movement
International Organization for Migration,IOM
International Rescue Committee,The International Rescue Committee
Islamic Relief Pakistan,Islamic Relief Worldwide 
Islamic Relief Worldwide,Islamic Relief Worldwide 
Japanese Red Cross Society,Red Cross and Red Crescent Movement
Jordan National Red Crescent Society,Red Cross and Red Crescent Movement
Jordan National Red Crescent Society; Kuwait Red Crescent Society,Red Cross and Red Crescent Movement
Kazakh Red Crescent Society,Red Cross and Red Crescent Movement
Kenya Red Cross Society,Red Cross and Red Crescent Movement
Lebanese Red Cross,Red Cross and Red Crescent Movement
Lebanese Red Cross; Kuwait Red Crescent Society,Red Cross and Red Crescent Movement
Luxembourg Red Cross,Red Cross and Red Crescent Movement
Malagasy Red Cross Society,Red Cross and Red Crescent Movement
Mauritanian Red Crescent,Red Cross and Red Crescent Movement
MEDAIR,Medair
Mercy Corps,Mercy Corps
Mercy Corps Europe,Mercy Corps
Mercy Corps; Danish Refugee Council,Danish Refugee Council
Mongolian Red Cross,Red Cross and Red Crescent Movement
Norwegian Red Cross,Red Cross and Red Crescent Movement
Norwegian Refugee Council,NRC
Oxfam,Oxfam
Oxfam Canada,Oxfam
Oxfam GB,Oxfam
Oxfam GB/Care International,Oxfam
Oxfam Intermón Spain,Oxfam
Oxfam Ireland,Oxfam
Oxfam Novib Netherlands,Oxfam
Oxfam Québec,Oxfam
Palestine Red Crescent Society,Red Cross and Red Crescent Movement
People in Need,People In Need
Plan Canada,Plan International
Plan International,Plan International
Plan International Bangladesh,Plan International
Plan USA,Plan International
Première Urgence Internationale,Premiere Urgence International
Qatar Red Crescent Society,Red Cross and Red Crescent Movement
Red Crescent Society of Tajikistan,Red Cross and Red Crescent Movement
Red Cross of Monaco,Red Cross and Red Crescent Movement
Red Cross of Viet Nam,Red Cross and Red Crescent Movement
Red Cross/Red Crescent Societies (Confidential),Red Cross and Red Crescent Movement
Relief International,Relief International
Save the Children,Save the Children
Solidarités International,Solidarites International
Sudanese Red Crescent,Red Cross and Red Crescent Movement
Swedish Red Cross,Red Cross and Red Crescent Movement
Swiss Development Cooperation/Swiss Humanitarian Aid; International Federation of Red Cross and Red Crescent Societies,Red Cross and Red Crescent Movement
Swiss Red Cross,Red Cross and Red Crescent Movement
Tearfund,Tearfund
United Nations Children's Fund,UNICEF
United Nations Children's Fund; World Food Programme,UNICEF
United Nations High Commissioner for Refugees,UNHCR
United Nations Population Fund,UNFPA
War Child Holland,War Child
Women's Refugee Commission,Womens Refugee Commission
World Food Programme,World Food Programme
World Food Programme; Save the Children; United Nations Children's Fund,World Food Programme
World Food Programme; United Nations Children's Fund,World Food Programme
World Vision Bangladesh,World Vision International
World Vision Central African Republic,World Vision International
World Vision Ethiopia,World Vision International
World Vision Germany,World Vision International
World Vision Guatemala,World Vision International
World Vision International,World Vision International
World Vision New Zealand,World Vision International
World Vision Romania,World Vision International
World Vision Somalia,World Vision International
World Vision South Sudan,World Vision International
World Vision UK,World Vision International
World Vision USA,World Vision International
World Vision Zimbabwe,World Vision International
World Vision Mozambique,World Vision International
Yemen Family Care Association,YFCA
ZOA,ZOA
ZOA Dorcas South Sudan,ZOA
United Nations Children's Fund; Première Urgence Internationale,UNICEF
Oxfam America,Oxfam
Colombian Red Cross Society,Red Cross and Red Crescent Movement
Plan Ireland,Plan International
World Vision Syria Response,World Vision International
Plan Mali,Plan International
Cameroon Red Cross Society,Red Cross and Red Crescent Movement
Honduran Red Cross,Red Cross and Red Crescent Movement
ADESA                                                                                ,ADESA                                                                                
Adeso Africa                                                                         ,Adeso Africa                                                                         
Association Nigérienne pour le Traitement de la Délinquance et la prévention du crime,Association Nigerienne pour le Traitement de la delinquance et la prevention du crime
Community Organized Relief Effort,CORE                                                                                 
European Commission's Humanitarian Aid and Civil Protection Department,ECHO                                                                                 
ForAfrika                                                                            ,ForAfrika                                                                            
Future Resilience and Development Foundation,Future Resilience and Development Foundation                                         
Gorta Self Help Africa                                                               ,Gorta Self Help Africa                                                               
Hope and Rural Aid Foundation                                                        ,Hope and Rural Aid Foundation                                                        
International Committee of the Red Cross,ICRC                                                                                 
International Federation of Red Cross and Red Crescent Societies,IFRC                                                                                 
Juba Foundation                                                                      ,Juba Foundation                                                                      
Karkara                                                                              ,Karkara                                                                              
Médecins du Monde,Medecins du monde Belgium                                                            
Muslim Hands                                                                         ,Muslim Hands                                                                         
People in Need                                                                       ,People in Need                                                                       
Philantrophy Serbia                                                                  ,Philantrophy Serbia                                                                  
Samaritan's Purse,Samaritan's Purse                                                                    
Swiss Development Cooperation/Swiss Humanitarian Aid,SDC                                                                                  
"United States of America, Government of",USAID/FFP  
