date,value,@OBS_STATUS,freq,ref_area,indicator,unit_mult,time_format
1950,174.840666544651,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1951,174.980667078374,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1952,174.985667097436,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1953,174.980667078374,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1954,174.985667097436,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1955,174.985667097436,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1956,174.895666754328,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1957,180.821105973032,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1958,210.238718125891,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1959,245.213434789085,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1960,245.195101398359,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1961,245.26010162116,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1962,245.013850686544,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1963,245.016350696075,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1964,245.027184079042,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1965,245.060934207708,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1966,245.678436557644,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1967,246.000937791281,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1968,247.564693756951,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1969,259.960574351236,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1970,276.403137026845,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1971,275.356456685332,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1972,252.027627462649,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1973,222.889183053227,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1974,240.704667637823,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1975,214.312900341219,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1976,238.950494267059,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1977,245.679686566576,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1978,225.655860233957,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1979,212.721644262377,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1980,211.279555414705,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1981,271.731452550327,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1982,328.60625269899,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1983,381.066036024628,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1984,436.956665788008,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1985,449.262962711607,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1986,346.305903554493,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1987,300.536562401478,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1988,297.848218819378,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1989,319.008299487903,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1990,272.264787954393,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1991,282.10690880882,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1992,264.691800750579,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1993,283.162579500018,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1994,555.204695655697,B,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1995,499.14842590131,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1996,511.552430272516,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1997,583.669372353396,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1998,589.951774567332,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
1999,615.473349319164,B,A,CG,ENDA_XDC_USD_RATE,0,P1Y
2000,710.207977031367,,A,CG,ENDA_XDC_USD_RATE,0,P1Y
