COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE
ABW,ECU_XDC,EOP_RT,A,1986,0.521916309675911
ABW,ECU_XDC,EOP_RT,A,1987,0.428616861958796
ABW,ECU_XDC,EOP_RT,A,1988,0.476427782600286
ABW,ECU_XDC,EOP_RT,A,1989,0.466716138577356
ABW,ECU_XDC,EOP_RT,A,1990,0.409784506621503
ABW,ECU_XDC,EOP_RT,A,1991,0.416630037942498
ABW,ECU_XDC,EOP_RT,A,1992,0.461358673612268
ABW,ECU_XDC,EOP_RT,A,1993,0.498816234253681
ABW,ECU_XDC,EOP_RT,A,1994,0.454179716006874
ABW,ECU_XDC,EOP_RT,A,1995,0.425081581657152
ABW,ECU_XDC,EOP_RT,A,1996,0.445860875088464
ABW,ECU_XDC,EOP_RT,A,1997,0.505935662489105
ABW,ECU_XDC,EOP_RT,A,1998,0.478816556997724
ABW,ECU_XDC,PA_RT,A,1986,0.569368082563306
ABW,ECU_XDC,PA_RT,A,1987,0.483973968330839
ABW,ECU_XDC,PA_RT,A,1988,0.47188705351915
ABW,ECU_XDC,PA_RT,A,1989,0.506762513476189
ABW,ECU_XDC,PA_RT,A,1990,0.438852488513036
ABW,ECU_XDC,PA_RT,A,1991,0.450347009258648
ABW,ECU_XDC,PA_RT,A,1992,0.430795518132669
ABW,ECU_XDC,PA_RT,A,1993,0.476563254558485
ABW,ECU_XDC,PA_RT,A,1994,0.47003096289799
ABW,ECU_XDC,PA_RT,A,1995,0.427064871823097
ABW,ECU_XDC,PA_RT,A,1996,0.440593693098815
ABW,ECU_XDC,PA_RT,A,1997,0.492620558403221
ABW,ECU_XDC,PA_RT,A,1998,0.498793966069441
AFG,ECU_XDC,EOP_RT,A,1979,0.0193960727468708
AFG,ECU_XDC,EOP_RT,A,1980,0.0196787565516049
AFG,ECU_XDC,EOP_RT,A,1981,0.0215186666168873
AFG,ECU_XDC,EOP_RT,A,1982,0.0241315046365378
AFG,ECU_XDC,EOP_RT,A,1983,0.0282234191937026
AFG,ECU_XDC,EOP_RT,A,1984,0.0329412568946905
AFG,ECU_XDC,EOP_RT,A,1985,0.0263003232488412
AFG,ECU_XDC,EOP_RT,A,1986,0.0218161967606933
AFG,ECU_XDC,EOP_RT,A,1987,0.0179162628607074
AFG,ECU_XDC,EOP_RT,A,1988,0.0199147680476259
AFG,ECU_XDC,EOP_RT,A,1989,0.019508819559437
AFG,ECU_XDC,EOP_RT,A,1990,0.0171290669791286
AFG,ECU_XDC,EOP_RT,A,1991,0.0174152114345932
AFG,ECU_XDC,EOP_RT,A,1992,0.0192848765485557
AFG,ECU_XDC,EOP_RT,A,1993,0.0208506094026144
AFG,ECU_XDC,EOP_RT,A,1994,0.0192126123514665
