DATAFLOW,FREQ,iso3,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,year,value,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1950,1.453166,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1951,1.552146,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1952,1.552146,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1953,1.774235,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1954,1.889494,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1955,1.889494,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1956,1.889494,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1957,1.889494,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1958,1.889494,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1959,1.889494,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1960,1.889494,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1961,1.889494,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1962,1.889494,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,AUT,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1963,1.889494,,F,6,A,0,EUR
