iso3,year,value
ABW,1950,
ABW,1951,
ABW,1952,
ABW,1953,
ABW,1954,
ABW,1955,
ABW,1956,
ABW,1957,
ABW,1958,
ABW,1959,
ABW,1960,
ABW,1961,
ABW,1962,
ABW,1963,
ABW,1964,
ABW,1965,
ABW,1966,
ABW,1967,
ABW,1968,
ABW,1969,
ABW,1970,
ABW,1971,
ABW,1972,
ABW,1973,
ABW,1974,
ABW,1975,
ABW,1976,
ABW,1977,
ABW,1978,
ABW,1979,
ABW,1980,
ABW,1981,
ABW,1982,
ABW,1983,
ABW,1984,
ABW,1985,
ABW,1986,1.79
ABW,1987,1.79
ABW,1988,1.79
ABW,1989,1.79
ABW,1990,1.79
ABW,1991,1.79
ABW,1992,1.79
ABW,1993,1.79
ABW,1994,1.79
ABW,1995,1.79
ABW,1996,1.79
ABW,1997,1.79
ABW,1998,1.79
ABW,1999,1.79
ABW,2000,1.79
ABW,2001,1.79
ABW,2002,1.79
ABW,2003,1.79
ABW,2004,1.79
ABW,2005,1.79
ABW,2006,1.79
ABW,2007,1.79
ABW,2008,1.79
ABW,2009,1.79
ABW,2010,1.79
ABW,2011,1.79
ABW,2012,1.79
ABW,2013,1.79
ABW,2014,1.79
ABW,2015,1.79
ABW,2016,1.79
ABW,2017,1.79
ABW,2018,1.79
ABW,2019,1.79
ABW,2020,1.79
ABW,2021,1.79
ABW,2022,1.79
ABW,2023,1.79
ABW,2024,1.79
ABW,2025,
AFG,1950,
AFG,1951,
AFG,1952,
AFG,1953,
AFG,1954,
AFG,1955,14.4451109778044
AFG,1956,17.1965606878624
AFG,1957,17.1965606878624
AFG,1958,17.1965606878624
AFG,1959,17.1965606878624
AFG,1960,45
AFG,1961,45
AFG,1962,45
AFG,1963,45
AFG,1964,45
AFG,1965,45
AFG,1966,45
AFG,1967,45
AFG,1968,45
AFG,1969,45
AFG,1970,45
AFG,1971,45
AFG,1972,45
AFG,1973,45
AFG,1974,45
AFG,1975,45
AFG,1976,45
AFG,1977,45
AFG,1978,45
AFG,1979,43.7
AFG,1980,44.1
AFG,1981,49.5
AFG,1982,50.6
AFG,1983,50.6
AFG,1984,50.6
AFG,1985,50.6
AFG,1986,50.6
AFG,1987,50.6
AFG,1988,50.6
AFG,1989,50.6
AFG,1990,50.6
AFG,1991,50.6
AFG,1992,51
AFG,1993,39.276429270146
AFG,1994,38.818463
AFG,1995,36.5671446236559
AFG,1996,47.5
AFG,1997,47.5
AFG,1998,47.5
AFG,1999,47.060154
AFG,2000,47.436458
AFG,2001,47.439565
AFG,2002,47.615509
AFG,2003,48.962877
AFG,2004,47.808015
AFG,2005,49.677653
AFG,2006,49.922615
AFG,2007,49.797366
AFG,2008,50.947841
AFG,2009,49.265833
AFG,2010,45.799729
AFG,2011,47.75864
AFG,2012,51.679167
AFG,2013,56.526667
AFG,2014,57.396795
AFG,2015,63.904167
AFG,2016,67.502663
AFG,2017,68.545248
AFG,2018,73.543124
AFG,2019,78.172326
AFG,2020,76.917792
AFG,2021,87.74
AFG,2022,88.53
AFG,2023,78.76
AFG,2024,
AFG,2025,
AGO,1950,2.877436e-08
AGO,1951,2.874936e-08
AGO,1952,2.874936e-08
AGO,1953,2.874936e-08
AGO,1954,2.874936e-08
AGO,1955,2.874936e-08
AGO,1956,2.874936e-08
AGO,1957,2.874936e-08
AGO,1958,2.874936e-08
AGO,1959,2.86545266666667e-08
AGO,1960,2.86684433333333e-08
AGO,1961,2.873486e-08
AGO,1962,2.86784433333333e-08
AGO,1963,2.87520266666667e-08
AGO,1964,2.88197766666667e-08
AGO,1965,2.87785266666667e-08
AGO,1966,2.882386e-08
AGO,1967,2.884161e-08
AGO,1968,2.872761e-08
AGO,1969,2.85611933333333e-08
AGO,1970,2.862511e-08
AGO,1971,2.819112e-08
AGO,1972,2.7052815e-08
AGO,1973,2.451462e-08
AGO,1974,2.54076008333333e-08
AGO,1975,2.55521808333333e-08
AGO,1976,2.93836233333333e-08
AGO,1977,2.9918e-08
AGO,1978,2.9918e-08
AGO,1979,2.9918e-08
AGO,1980,2.9918e-08
AGO,1981,2.9918e-08
AGO,1982,2.9918e-08
AGO,1983,2.9918e-08
AGO,1984,2.9918e-08
AGO,1985,2.9918e-08
AGO,1986,2.9918e-08
AGO,1987,2.9918e-08
AGO,1988,2.9918e-08
AGO,1989,2.9918e-08
AGO,1990,2.9918e-08
AGO,1991,6.60141666666667e-08
AGO,1992,4.57400873958333e-07
AGO,1993,5.09645083333333e-06
AGO,1994,0.000152783
AGO,1995,0.002710955
AGO,1996,0.11100763
AGO,1997,0.229040083333333
AGO,1998,0.3928235175
AGO,1999,2.790706
AGO,2000,10.040544
AGO,2001,22.057862
AGO,2002,43.530207
AGO,2003,74.606301
AGO,2004,83.541363
AGO,2005,87.159142
AGO,2006,80.368072
AGO,2007,76.706143
AGO,2008,75.033354
AGO,2009,79.328167
AGO,2010,91.90572
AGO,2011,93.93475
AGO,2012,95.467955
AGO,2013,99.706006
AGO,2014,105.348208
AGO,2015,154.152959
AGO,2016,313.66675
AGO,2017,274.96612
AGO,2018,322.561611
AGO,2019,427.803957
AGO,2020,653.603105
AGO,2021,669.661739
AGO,2022,499.847917
AGO,2023,730.838839
AGO,2024,869.846189590008
AGO,2025,
AIA,1950,
AIA,1951,
AIA,1952,
AIA,1953,
AIA,1954,
AIA,1955,
AIA,1956,
AIA,1957,1.71826960856376
AIA,1958,1.70825660983554
AIA,1959,1.70887657152788
AIA,1960,1.70961702841091
AIA,1961,1.71291095701782
AIA,1962,1.7095242518763
AIA,1963,1.71411776296767
AIA,1964,1.71888299498004
AIA,1965,1.71660560811339
AIA,1966,1.71844256631444
AIA,1967,1.75072474621063
AIA,1968,2.00528309670948
AIA,1969,2.00808795935344
AIA,1970,2.00337610955604
AIA,1971,1.96436639521809
AIA,1972,1.92187214711948
AIA,1973,1.95921923213959
AIA,1974,2.05323240904611
AIA,1975,2.16979583333333
AIA,1976,2.61467083333333
AIA,1977,2.7
AIA,1978,2.7
AIA,1979,2.7
AIA,1980,2.7
AIA,1981,2.7
AIA,1982,2.7
AIA,1983,2.7
AIA,1984,2.7
AIA,1985,2.7
AIA,1986,2.7
AIA,1987,2.7
AIA,1988,2.7
AIA,1989,2.7
AIA,1990,2.7
AIA,1991,2.7
AIA,1992,2.7
AIA,1993,2.7
AIA,1994,2.7
AIA,1995,2.7
AIA,1996,2.7
AIA,1997,2.7
AIA,1998,2.7
AIA,1999,2.7
AIA,2000,2.7
AIA,2001,2.7
AIA,2002,2.7
AIA,2003,2.7
AIA,2004,2.7
AIA,2005,2.7
AIA,2006,2.7
AIA,2007,2.7
AIA,2008,2.7
AIA,2009,2.7
AIA,2010,2.7
AIA,2011,2.7
AIA,2012,2.7
AIA,2013,2.7
AIA,2014,2.7
AIA,2015,2.7
AIA,2016,2.7
AIA,2017,2.7
AIA,2018,2.7
AIA,2019,2.7
AIA,2020,2.7
AIA,2021,2.7
AIA,2022,2.7
AIA,2023,2.7
AIA,2024,2.7
AIA,2025,
ALB,1950,
ALB,1951,
ALB,1952,
ALB,1953,
ALB,1954,
ALB,1955,
ALB,1956,
ALB,1957,
ALB,1958,
ALB,1959,
ALB,1960,
ALB,1961,
ALB,1962,
ALB,1963,
ALB,1964,
ALB,1965,
ALB,1966,
ALB,1967,
ALB,1968,
ALB,1969,
ALB,1970,
ALB,1971,
ALB,1972,
ALB,1973,
ALB,1974,
ALB,1975,
ALB,1976,
ALB,1977,
ALB,1978,
ALB,1979,
ALB,1980,9.5
ALB,1981,8.58
ALB,1982,8.58
ALB,1983,8.58
ALB,1984,8.58
ALB,1985,8.58
ALB,1986,8
ALB,1987,8
ALB,1988,8
ALB,1989,8
ALB,1990,8
ALB,1991,14.4
ALB,1992,75.0325
ALB,1993,102.0625
ALB,1994,94.623333
ALB,1995,92.6975
ALB,1996,104.498917
ALB,1997,148.932917
ALB,1998,150.633333
ALB,1999,137.690583
ALB,2000,143.709417
ALB,2001,143.484833
ALB,2002,140.154516
ALB,2003,121.86325
ALB,2004,102.780051
ALB,2005,99.870254
ALB,2006,98.103377
ALB,2007,90.427894
ALB,2008,83.894604
ALB,2009,94.97812
ALB,2010,103.936667
ALB,2011,100.895833
ALB,2012,108.184167
ALB,2013,105.669167
ALB,2014,105.48
ALB,2015,125.961667
ALB,2016,124.1425
ALB,2017,119.1
ALB,2018,107.989167
ALB,2019,109.850833
ALB,2020,108.65
ALB,2021,103.52
ALB,2022,113.041667
ALB,2023,100.645
ALB,2024,93.123333
ALB,2025,
AND,1950,
AND,1951,
AND,1952,
AND,1953,
AND,1954,
AND,1955,
AND,1956,
AND,1957,
AND,1958,
AND,1959,
AND,1960,
AND,1961,
AND,1962,
AND,1963,
AND,1964,
AND,1965,
AND,1966,
AND,1967,
AND,1968,
AND,1969,
AND,1970,0.420708
AND,1971,0.417515
AND,1972,0.386279
AND,1973,0.35015
AND,1974,0.346703
AND,1975,0.345023
AND,1976,0.402095
AND,1977,0.45654
AND,1978,0.460783
AND,1979,0.403429
AND,1980,0.430937
AND,1981,0.554865
AND,1982,0.660267
AND,1983,0.862031
AND,1984,0.966193
AND,1985,1.021986
AND,1986,0.841708
AND,1987,0.74212
AND,1988,0.7001
AND,1989,0.711464
AND,1990,0.612635
AND,1991,0.624521
AND,1992,0.615311
AND,1993,0.764851
AND,1994,0.805104
AND,1995,0.749396
AND,1996,0.761251
AND,1997,0.879964
AND,1998,0.897884
AND,1999,0.938283
AND,2000,1.0827050813
AND,2001,1.1165330856
AND,2002,1.0575589962
AND,2003,0.8840479272
AND,2004,0.8039216477
AND,2005,0.8038001922
AND,2006,0.7964327309
AND,2007,0.7296724
AND,2008,0.67992268
AND,2009,0.716957702
AND,2010,0.7543089901
AND,2011,0.7184138987
AND,2012,0.7783381204
AND,2013,0.7529451227
AND,2014,0.7527281969
AND,2015,0.9012964234
AND,2016,0.9034214363
AND,2017,0.8852055083
AND,2018,0.8467726671
AND,2019,0.8932762571
AND,2020,0.875506397
AND,2021,0.8454941389
AND,2022,0.9496237532
AND,2023,0.9248395585
AND,2024,0.924367447270267
AND,2025,
ANT,1950,1.88586000088586
ANT,1951,1.88586000088586
ANT,1952,1.88586000088586
ANT,1953,1.88586000088586
ANT,1954,1.88586000088586
ANT,1955,1.88586000088586
ANT,1956,1.88586000088586
ANT,1957,1.88586000088586
ANT,1958,1.88586000088586
ANT,1959,1.88586000088586
ANT,1960,1.88586000088586
ANT,1961,1.88585166755252
ANT,1962,1.88585000088585
ANT,1963,1.88585000088585
ANT,1964,1.88585000088585
ANT,1965,1.88585000088585
ANT,1966,1.88585000088585
ANT,1967,1.88585000088585
ANT,1968,1.88585000088585
ANT,1969,1.88585000088585
ANT,1970,1.88585000088585
ANT,1971,1.88341795350677
ANT,1972,1.799999999
ANT,1973,1.799999999
ANT,1974,1.799999999
ANT,1975,1.799999999
ANT,1976,1.799999999
ANT,1977,1.799999999
ANT,1978,1.799999999
ANT,1979,1.799999999
ANT,1980,1.799999999
ANT,1981,1.799999999
ANT,1982,1.799999999
ANT,1983,1.799999999
ANT,1984,1.79999999958333
ANT,1985,1.8
ANT,1986,1.8
ANT,1987,1.8
ANT,1988,1.8
ANT,1989,1.79333333333333
ANT,1990,1.79
ANT,1991,1.79
ANT,1992,1.79
ANT,1993,1.79
ANT,1994,1.79
ANT,1995,1.79
ANT,1996,1.79
ANT,1997,1.79
ANT,1998,1.79
ANT,1999,1.79
ANT,2000,1.79
ANT,2001,1.79
ANT,2002,1.79
ANT,2003,1.79
ANT,2004,1.79
ANT,2005,1.79
ANT,2006,1.79
ANT,2007,1.79
ANT,2008,1.79
ANT,2009,1.79
ANT,2010,
ANT,2011,
ANT,2012,
ANT,2013,
ANT,2014,
ANT,2015,
ANT,2016,
ANT,2017,
ANT,2018,
ANT,2019,
ANT,2020,
ANT,2021,
ANT,2022,
ANT,2023,
ANT,2024,
ANT,2025,
ARE,1950,
ARE,1951,
ARE,1952,
ARE,1953,
ARE,1954,
ARE,1955,
ARE,1956,
ARE,1957,
ARE,1958,
ARE,1959,
ARE,1960,
ARE,1961,
ARE,1962,
ARE,1963,
ARE,1964,
ARE,1965,
ARE,1966,4.7619
ARE,1967,4.7619
ARE,1968,4.7619
ARE,1969,4.7619
ARE,1970,4.7619
ARE,1971,4.747963
ARE,1972,4.385978
ARE,1973,3.996271
ARE,1974,3.9591
ARE,1975,3.961285
ARE,1976,3.953072
ARE,1977,3.9033
ARE,1978,3.871211
ARE,1979,3.815676
ARE,1980,3.707365
ARE,1981,3.671
ARE,1982,3.671
ARE,1983,3.671
ARE,1984,3.671
ARE,1985,3.671
ARE,1986,3.671
ARE,1987,3.671
ARE,1988,3.671
ARE,1989,3.671
ARE,1990,3.671
ARE,1991,3.671
ARE,1992,3.671
ARE,1993,3.671
ARE,1994,3.671
ARE,1995,3.671
ARE,1996,3.671
ARE,1997,3.671
ARE,1998,3.6725
ARE,1999,3.6725
ARE,2000,3.6725
ARE,2001,3.6725
ARE,2002,3.6725
ARE,2003,3.6725
ARE,2004,3.6725
ARE,2005,3.6725
ARE,2006,3.6725
ARE,2007,3.6725
ARE,2008,3.6725
ARE,2009,3.6725
ARE,2010,3.6725
ARE,2011,3.6725
ARE,2012,3.6725
ARE,2013,3.6725
ARE,2014,3.6725
ARE,2015,3.6725
ARE,2016,3.6725
ARE,2017,3.6725
ARE,2018,3.6725
ARE,2019,3.6725
ARE,2020,3.6725
ARE,2021,3.6725
ARE,2022,3.6725
ARE,2023,3.6725
ARE,2024,3.6725
ARE,2025,
ARG,1950,
ARG,1951,
ARG,1952,
ARG,1953,
ARG,1954,
ARG,1955,
ARG,1956,
ARG,1957,
ARG,1958,
ARG,1959,
ARG,1960,
ARG,1961,
ARG,1962,8.717000211933e-12
ARG,1963,1.38719999029369e-11
ARG,1964,1.40389999972457e-11
ARG,1965,1.70000003657522e-11
ARG,1966,2.1000000349769e-11
ARG,1967,3.29999985670959e-11
ARG,1968,3.4999999426466e-11
ARG,1969,3.4999999426466e-11
ARG,1970,3.79999989807978e-11
ARG,1971,5.00000006675716e-11
ARG,1972,7.99999996803358e-11
ARG,1973,9.00000005077395e-11
ARG,1974,9.00000005077395e-11
ARG,1975,3.70000002858362e-10
ARG,1976,1.99999994343614e-09
ARG,1977,4.99999996961265e-09
ARG,1978,7.95749999999583e-09
ARG,1979,2.79000005320995e-08
ARG,1980,4.9899998799674e-08
ARG,1981,9.49999972021942e-08
ARG,1982,2.59199993024595e-07
ARG,1983,1e-06
ARG,1984,7e-06
ARG,1985,6e-05
ARG,1986,9.4e-05
ARG,1987,0.000214
ARG,1988,0.000875
ARG,1989,0.042334
ARG,1990,0.487589
ARG,1991,0.953554
ARG,1992,0.990642
ARG,1993,0.998946
ARG,1994,0.999008
ARG,1995,0.99975
ARG,1996,0.999663
ARG,1997,0.9995
ARG,1998,0.9995
ARG,1999,0.9995
ARG,2000,0.9995
ARG,2001,0.9995
ARG,2002,3.063257
ARG,2003,2.900629
ARG,2004,2.923301
ARG,2005,2.903658
ARG,2006,3.054313
ARG,2007,3.095649
ARG,2008,3.144165
ARG,2009,3.710107
ARG,2010,3.896295
ARG,2011,4.11014
ARG,2012,4.536934
ARG,2013,5.459353
ARG,2014,8.075276
ARG,2015,9.233186
ARG,2016,14.758175
ARG,2017,16.562707
ARG,2018,28.094992
ARG,2019,48.147892
ARG,2020,70.539167
ARG,2021,94.990742
ARG,2022,130.61655
ARG,2023,296.258042
ARG,2024,914.694883333333
ARG,2025,
ARM,1950,
ARM,1951,
ARM,1952,
ARM,1953,
ARM,1954,
ARM,1955,
ARM,1956,
ARM,1957,
ARM,1958,
ARM,1959,
ARM,1960,
ARM,1961,
ARM,1962,
ARM,1963,
ARM,1964,
ARM,1965,
ARM,1966,
ARM,1967,
ARM,1968,
ARM,1969,
ARM,1970,
ARM,1971,
ARM,1972,
ARM,1973,
ARM,1974,
ARM,1975,
ARM,1976,
ARM,1977,
ARM,1978,
ARM,1979,
ARM,1980,
ARM,1981,
ARM,1982,
ARM,1983,
ARM,1984,
ARM,1985,
ARM,1986,
ARM,1987,
ARM,1988,
ARM,1989,
ARM,1990,0.022292
ARM,1991,0.0385
ARM,1992,0.2437
ARM,1993,3.5115
ARM,1994,142.2376
ARM,1995,355.6833
ARM,1996,414.04
ARM,1997,490.6
ARM,1998,504.5
ARM,1999,535.06
ARM,2000,539.526
ARM,2001,555.06
ARM,2002,573.35
ARM,2003,578.77
ARM,2004,533.45
ARM,2005,457.686941
ARM,2006,416.04037
ARM,2007,342.079116
ARM,2008,305.9694
ARM,2009,363.283286
ARM,2010,373.660467
ARM,2011,372.500882
ARM,2012,401.763976
ARM,2013,409.625749
ARM,2014,415.919789
ARM,2015,477.918307
ARM,2016,480.488151
ARM,2017,482.716394
ARM,2018,482.987947
ARM,2019,480.445129
ARM,2020,489.008859
ARM,2021,503.77
ARM,2022,435.67
ARM,2023,392.48
ARM,2024,392.729551399084
ARM,2025,
ASM,1950,
ASM,1951,
ASM,1952,
ASM,1953,
ASM,1954,
ASM,1955,
ASM,1956,
ASM,1957,
ASM,1958,
ASM,1959,
ASM,1960,1
ASM,1961,1
ASM,1962,1
ASM,1963,1
ASM,1964,1
ASM,1965,1
ASM,1966,1
ASM,1967,1
ASM,1968,1
ASM,1969,1
ASM,1970,1
ASM,1971,1
ASM,1972,1
ASM,1973,1
ASM,1974,1
ASM,1975,1
ASM,1976,1
ASM,1977,1
ASM,1978,1
ASM,1979,1
ASM,1980,1
ASM,1981,1
ASM,1982,1
ASM,1983,1
ASM,1984,1
ASM,1985,1
ASM,1986,1
ASM,1987,
ASM,1988,
ASM,1989,
ASM,1990,
ASM,1991,
ASM,1992,
ASM,1993,
ASM,1994,
ASM,1995,
ASM,1996,
ASM,1997,
ASM,1998,
ASM,1999,
ASM,2000,
ASM,2001,
ASM,2002,1
ASM,2003,1
ASM,2004,1
ASM,2005,1
ASM,2006,1
ASM,2007,1
ASM,2008,1
ASM,2009,1
ASM,2010,1
ASM,2011,1
ASM,2012,1
ASM,2013,1
ASM,2014,1
ASM,2015,1
ASM,2016,1
ASM,2017,1
ASM,2018,1
ASM,2019,1
ASM,2020,1
ASM,2021,1
ASM,2022,1
ASM,2023,1
ASM,2024,
ASM,2025,
ATG,1950,1.71429000071429
ATG,1951,1.71429000071429
ATG,1952,1.71429000071429
ATG,1953,1.71429000071429
ATG,1954,1.71429000071429
ATG,1955,1.71429000071429
ATG,1956,1.71429000071429
ATG,1957,1.71429000071429
ATG,1958,1.71429000071429
ATG,1959,1.71429000071429
ATG,1960,1.71429000071429
ATG,1961,1.71429000071429
ATG,1962,1.71429000071429
ATG,1963,1.71429000071429
ATG,1964,1.71429000071429
ATG,1965,1.71429000071429
ATG,1966,1.71429000071429
ATG,1967,1.76190833409524
ATG,1968,2
ATG,1969,2
ATG,1970,2
ATG,1971,1.97487273321145
ATG,1972,1.92127814947601
ATG,1973,1.95921923598161
ATG,1974,2.05323240851763
ATG,1975,2.16979583233333
ATG,1976,2.61467083283333
ATG,1977,2.7
ATG,1978,2.7
ATG,1979,2.7
ATG,1980,2.7
ATG,1981,2.7
ATG,1982,2.7
ATG,1983,2.7
ATG,1984,2.7
ATG,1985,2.7
ATG,1986,2.7
ATG,1987,2.7
ATG,1988,2.7
ATG,1989,2.7
ATG,1990,2.7
ATG,1991,2.7
